n,pos,pos_rate,tp,fp,fn,tn,precision,recall,f1,ap,brier,pred_pos,pred_rate,slice_var,slice_value,delta_f1_global,fp_rate_among_neg,fn_rate_among_pos
5094,1683,0.3303886925795053,1406,1830,277,1581,0.434487021013597,0.8354129530600118,0.5716609066883513,0.6416584160896635,0.181033293506939,3236,0.635257165292501,year,2025,-0.0031786311807115,0.5364995602462621,0.1645870469399881
1873,620,0.3310197544046983,620,884,0,369,0.4122340425531915,1.0,0.583804143126177,0.7076122257556197,0.1641057518723797,1504,0.802989855846236,year,2026,0.008964605257114,0.7055067837190743,0.0
2869,953,0.3321714883234576,953,1619,0,297,0.3705287713841368,1.0,0.540709219858156,0.6464873594169773,0.2046420112865987,2572,0.8964796096200767,quarter,1,-0.0341303180109069,0.8449895615866388,0.0
1506,587,0.3897742363877822,475,470,112,449,0.5026455026455027,0.8091993185689949,0.6201044386422977,0.7302478778372712,0.1834440750293834,945,0.6274900398406374,quarter,2,0.0452649007732347,0.5114254624591947,0.1908006814310051
1305,378,0.2896551724137931,253,175,125,752,0.5911214953271028,0.6693121693121693,0.6277915632754343,0.7532041819118265,0.1381809906985465,428,0.3279693486590038,quarter,3,0.0529520254063713,0.1887810140237324,0.3306878306878307
2432,712,0.2927631578947368,558,657,154,1063,0.4592592592592592,0.7837078651685393,0.5791385573430202,0.7336379518105087,0.1411659904292158,1215,0.4995888157894737,quarter,4,0.0042990194739572,0.3819767441860465,0.2162921348314606
991,313,0.3158425832492432,313,569,0,109,0.354875283446712,1.0,0.5238493723849372,0.6090247680682459,0.2049456216026044,882,0.8900100908173562,month,1,-0.0509901654841257,0.8392330383480826,0.0
876,286,0.3264840182648402,286,511,0,79,0.3588456712672522,1.0,0.5281625115420129,0.6583000185982125,0.2101007944972408,797,0.9098173515981736,month,2,-0.04667702632705,0.8661016949152542,0.0
1002,354,0.3532934131736527,354,539,0,109,0.3964165733482643,1.0,0.5677626303127506,0.6735120864518012,0.1995693846242391,893,0.8912175648702595,month,3,-0.0070769075563122,0.8317901234567902,0.0
808,291,0.3601485148514851,291,348,0,169,0.4553990610328638,1.0,0.6258064516129033,0.7194527104967647,0.1682621162742155,639,0.7908415841584159,month,4,0.0509669137438403,0.6731141199226306,0.0
349,121,0.3467048710601719,101,88,20,140,0.5343915343915344,0.8347107438016529,0.6516129032258065,0.7805940325398841,0.1544842873003546,189,0.5415472779369628,month,5,0.0767733653567435,0.3859649122807017,0.1652892561983471
349,175,0.501432664756447,83,34,92,140,0.7094017094017094,0.4742857142857143,0.5684931506849316,0.7762121245330357,0.2475529248620674,117,0.335243553008596,month,6,-0.0063463871841313,0.1954022988505747,0.5257142857142857
380,125,0.3289473684210526,83,42,42,213,0.664,0.664,0.664,0.7933730131420553,0.1527254669102908,125,0.3289473684210526,month,7,0.089160462130937,0.1647058823529411,0.336
